,b,B,v,V,g,G,d,D,5,z,Z,j,k,K,l,L,m,M,n,N,p,P,r,R,s,S,t,T,f,F,x,2,4,7
7,0,0,R,R,0,0,0,0,0,0,0,M,R,R,M,R,R,R,M,M,R,R,M,M,0,0,R,R,0,0,M,0,R,R
bz,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bz,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0
vg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,R,0,0,0,R,0,0,R,0,0,0,0,0,0,0,0,0,0,0
vd,0,0,R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,R,0,0,0,0,0,0,0,0,0,0
vz,R,0,R,0,R,0,R,0,0,0,0,R,0,0,R,0,R,0,R,0,0,0,R,R,0,0,0,0,0,0,0,0,0,0
vZ,0,R,0,R,0,0,0,R,0,0,0,0,0,0,0,R,0,R,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gv,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gr,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0
dz,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dz,R,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dZ,0,0,0,R,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5g,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0
zb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,R,0,0,0,0,0,0,R,R,0,0,0,0,0,0,0,0,0,0
zg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,R,0,0,R,R,0,0,R,R,0,0,0,0,0,0,0,0,0,0
zd,0,0,R,R,0,0,0,0,R,R,0,0,0,0,0,0,0,0,0,0,0,0,R,R,0,0,0,0,0,0,0,0,0,0
kL,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kr,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0
kS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,R,0,0,0,0,0,0
kx,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,R,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0
k7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,R,0,0,0,0,R,0
lz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0
mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,R,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ms,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0
mS,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0
mt,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0
m7,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0
nd,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0
nk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0
n2,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R
pr,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
